message,label
win a free prize now click here,spam
claim your free cash prize today,spam
urgent your account has been suspended click now,spam
you have won a lottery claim your money now,spam
limited time offer buy now save big,spam
free entry to win a brand new car,spam
congratulations you are selected for a free gift,spam
act now to claim your discount before it expires,spam
get rich quick with this one simple trick,spam
your loan has been approved click to claim cash,spam
hot singles in your area click now,spam
free vacation click here to claim your trip,spam
exclusive deal buy now and save fifty percent,spam
you are our lucky winner claim your reward,spam
double your money in just one week guaranteed,spam
hey are we still meeting for lunch tomorrow,ham
can you send me the report before the meeting,ham
happy birthday hope you have a great day,ham
reminder the dentist appointment is at three,ham
thanks for helping me move this weekend,ham
let's catch up over coffee next week,ham
the project deadline has been moved to friday,ham
did you watch the game last night,ham
please review the attached document and reply,ham
the flight was delayed but we landed safely,ham
can you pick up milk on your way home,ham
great job on the presentation today,ham
let me know if you need help with the assignment,ham
the weather looks nice for the hike this weekend,ham
our meeting is rescheduled to monday morning,ham
